environment_score_start,social_score_start,governance_score_start,total_score_start,Annual_Return,environment_cluster,governance_cluster,social_cluster,total_cluster,Annual_Return_Cluster
13.66,12.21,6.8,32.67,-0.159148702,0,0,0,0,0
11.07,11.59,5.97,28.65,0.087476129,0,0,0,0,1
10.64,10.99,5.86,27.49,0.051214518,0,0,0,0,1
500,300,300,1100,-0.283915433,2,2,2,2,0
13.15,6.61,7.94,27.65,0.099916803,0,0,0,0,1
12.4,6.24,7.56,26.19,0.2472636427378446,0,0,0,0,1
11.82,5.45,7.24,24.51,-0.111851822,0,0,0,0,0
605,323,315,1243,-0.004715996,2,2,2,2,0
565,316,300,1181,0.028505096,2,2,2,2,1
23.89,12.77,8.05,44.78,-0.022180731,0,0,0,0,0
24.84,12.6,8.26,45.71,-0.408562629,0,0,0,0,0
19.63,11.04,8.24,38.91,0.7500000939395519,0,0,0,0,2
550,252,240,1042,0.3918261054329944,2,1,1,2,2
4.96,5.26,4.9,15.5,0.6711521250773393,0,0,0,0,2
5.42,5.24,5.49,16.16,0.2230994939677202,0,0,0,0,1
4.52,5.48,5.49,15.5,0.1774925456376571,0,0,0,0,1
515,323,315,1153,-0.130593136,2,2,2,2,0
4.47,5.43,6.16,16,0.2369306088938078,0,0,0,0,1
4.56,5.21,5.76,15.52,-0.27102805,0,0,0,0,0
4.41,4.02,4.91,13.34,0.5240821551381726,0,0,0,0,2
2.91,3,5.14,11.05,-0.003855458,0,0,0,0,0
576,409,310,1295,0.021173337,2,2,2,2,1
377,304,210,891,-0.020913045,1,1,2,1,0
4.66,7.04,6.03,17.84,0.3987005244138369,0,0,0,0,2
5.02,6.59,5.63,17.24,0.261444793,0,0,0,0,1
5,6.45,5.68,17.12,0.4365752530352404,0,0,0,0,2
5.2,6.72,5.69,17.6,-0.193090696,0,0,0,0,0
653,380,310,1343,0.1025299180285473,2,2,2,2,1
235,241,235,711,-0.479244445,1,1,1,1,0
555,310,300,1165,0.032366254,2,2,2,2,1
290,333,305,928,-0.07011707,1,2,2,1,0
694,403,316,1413,0.2038539301069137,2,2,2,2,1
4.07,9.2,5.14,18.68,0.1684888507654018,0,0,0,0,1
4.01,9.9,5.03,18.94,0.2097430334227049,0,0,0,0,1
4.05,9.23,4.84,18.13,0.4080946777674791,0,0,0,0,2
3.83,7.31,4.96,16.1,-0.280366166,0,0,0,0,0
225,242,305,772,0.056536127,1,2,1,1,1
3.81,4.28,5.86,13.94,-0.063656374,0,0,0,0,0
292,246,215,753,-0.272214424,1,1,1,1,0
513,271,300,1084,0.2868562937823259,2,2,1,2,1
10.69,8.66,7.05,26.4,-0.123062482,0,0,0,0,0
510,302,300,1112,-0.349158884,2,2,2,2,0
20.58,11.87,6.85,39.97,0.3106892692873207,0,0,0,0,2
20.69,12.42,6.75,39.87,0.949063649,0,0,0,0,2
18.17,11.86,5.53,35.56,0.5319383220583427,0,0,0,0,2
17.21,10.28,5.37,32.87,0.1858726897193435,0,0,0,0,1
5.87,9.29,6.11,21.26,0.7033197627349373,0,0,0,0,2
5.18,10.01,6,21.19,-0.006758753,0,0,0,0,0
5.29,9.32,5.84,20.45,-0.208083083,0,0,0,0,0
510,304,300,1114,0.1391492629319259,2,2,2,2,1
1.21,11.87,5.34,18.42,0.3903977654196988,0,0,0,0,2
1.26,12.49,5.47,19.23,-0.184726672,0,0,0,0,0
0.34,11.57,6.61,18.51,-0.228403815,0,0,0,0,0
1.27,11.14,5.73,18.13,-0.063100152,0,0,0,0,0
395,302,310,1007,-0.040342792,1,2,2,2,0
2.23,13.03,11.34,26.6,0.3267155662450495,0,0,0,0,2
2.22,12.98,11.02,26.22,-0.109208432,0,0,0,0,0
2.02,12.22,10.22,24.46,0.5688039941638983,0,0,0,0,2
1.39,8.2,9.15,18.73,-0.113207619,0,0,0,0,0
410,302,300,1012,0.1484705338299939,2,2,2,2,1
16.53,12.54,6.91,36.22,0.5822444443974159,0,0,0,0,2
18.34,12.95,6.97,38.26,0.1450632376224461,0,0,0,0,1
17.86,13.54,7.31,38.71,-0.050298157,0,0,0,0,0
17.03,10.57,7.39,34.99,0.2372467104445981,0,0,0,0,1
295,330,315,940,0.0550161,1,2,2,1,1
370,331,288,989,-0.222227571,1,2,2,2,0
4.1,5.8,7.12,16.98,0.099786351,0,0,0,0,1
3.72,4.9,6.94,15.56,-0.342804201,0,0,0,0,0
2.24,4.44,6.08,12.75,0.6009395758235829,0,0,0,0,2
525,302,300,1127,-0.09811953,2,2,2,2,0
1.33,13.57,6.17,21.07,1.4028881212623354,0,0,0,0,2
1.23,12.19,5.75,19.17,-0.083839572,0,0,0,0,0
10.5,14.79,7.15,32.39,0.1466526447398539,0,0,0,0,1
10.01,14.6,6.96,31.56,0.099089673,0,0,0,0,1
15.52,14.16,5.63,35.32,0.074507055,0,0,0,0,1
540,326,305,1171,-0.231033604,2,2,2,2,0
510,310,300,1120,0.1662201219768612,2,2,2,2,1
533,300,300,1133,-0.046103753,2,2,2,2,0
500,303,300,1103,-0.144596616,2,2,2,2,0
585,326,365,1276,0.055357164,2,2,2,2,1
215,238,215,668,0.08851526,1,1,1,1,1
7.91,5.2,6.89,20,0.032732325,0,0,0,0,1
7.3,5.24,6.87,19.42,-0.099197934,0,0,0,0,0
510,303,255,1068,-0.329714351,2,1,2,2,0
535,311,250,1096,-0.290383653,2,1,2,2,0
295,362,355,1012,-0.126331387,1,2,2,2,0
4.25,5.85,3.41,13.37,0.1171522499533784,0,0,0,0,1
3.71,5.14,3.9,12.75,0.387020127,0,0,0,0,2
3.61,5.22,3.78,12.6,-0.069764084,0,0,0,0,0
0.18,14.04,7.57,21.85,0.7977350277926396,0,0,0,0,2
0.18,13.52,7.87,21.58,0.1710791070551511,0,0,0,0,1
0.38,10.96,7.31,18.64,-0.371489718,0,0,0,0,0
1.31,10.92,6.95,19.18,0.031091147,0,0,0,0,1
4.93,9.16,5.98,20,0.5684886874908661,0,0,0,0,2
5.52,9.66,5.68,20.86,0.22577341,0,0,0,0,1
5.87,8.84,4.79,19.5,0.1367392697907129,0,0,0,0,1
205,242,200,647,-0.185019797,1,1,1,1,0
525,305,305,1135,-0.173161916,2,2,2,2,0
1.41,5.85,6.75,13.88,0.213811794,0,0,0,0,1
1.39,5.25,6.38,13.02,0.201883727,0,0,0,0,1
3.21,5.57,6.05,14.83,0.2626449350739354,0,0,0,0,1
3.41,5.48,5.72,14.6,-0.050395194,0,0,0,0,0
255,301,300,856,-0.166307961,1,2,2,1,0
2.53,12.71,9.53,24.55,0.2801358459710751,0,0,0,0,1
2.48,11.43,8.8,22.72,-0.164682526,0,0,0,0,0
2.05,11.31,7.85,21.22,0.2094117706897175,0,0,0,0,1
1.96,10.54,7.79,20.28,-0.138064538,0,0,0,0,0
520,348,305,1173,0.016596579,2,2,2,2,1
230,317,205,752,-0.268982443,1,1,2,1,0
535,300,305,1140,0.5523680494178259,2,2,2,2,2
1.45,8.58,10.93,20.73,0.3947670618180573,0,0,0,0,2
1.48,8.58,10.51,20.56,-0.196522305,0,0,0,0,0
1.65,7.42,9.6,18.67,0.3910940848212486,0,0,0,0,2
1.5,6.22,8.58,16.31,0.08152949,0,0,0,0,1
545,315,315,1175,0.1920874038891936,2,2,2,2,1
8.63,8.48,4.05,21.16,0.5689630758471189,0,0,0,0,2
8.22,8.24,3.87,20.33,0.000989659,0,0,0,0,1
8.04,8.13,3.61,19.78,0.405695267,0,0,0,0,2
293,200,205,698,-0.002372524,1,1,1,1,0
4.63,19.88,10.84,35.38,0.3501422693730786,0,0,0,0,2
4.58,17.32,11.61,33.5,0.3978887517094758,0,0,0,0,2
4.45,14.28,11.78,30.51,0.045615901,0,0,0,0,1
515,324,315,1154,-0.002352638,2,2,2,2,0
545,344,308,1197,-0.06095448,2,2,2,2,0
230,359,230,819,-0.032095671,1,1,2,1,0
245,211,200,656,-0.006364303,1,1,1,1,0
10.56,12.32,5.12,27.96,0.067692322,0,0,0,0,1
10.02,11.23,4.98,26.24,0.03256538,0,0,0,0,1
10.73,10.32,5.04,26.1,0.045405929,0,0,0,0,1
570,322,300,1192,0.095550539,2,2,2,2,1
3.52,4.97,6,14.36,0.1024883610018908,0,0,0,0,1
3.65,5.68,5.68,15.01,-0.004911472,0,0,0,0,0
3.19,5.66,5.64,14.5,0.1366368541257731,0,0,0,0,1
2.14,5.59,5.76,13.48,0.1805142955275914,0,0,0,0,1
4.02,4.74,5.52,14.28,0.1283454157213538,0,0,0,0,1
3.97,5.15,5.42,14.55,-0.215549576,0,0,0,0,0
3.74,5.73,4.91,14.37,0.1813858066701334,0,0,0,0,1
510,318,318,1146,0.1194968656339949,2,2,2,2,1
9.14,10.87,5.92,25.95,0.3842531108033487,0,0,0,0,2
8.67,11.18,5.95,25.8,0.034639722,0,0,0,0,1
9.72,10.32,5.29,25.34,0.2644272149951659,0,0,0,0,1
525,361,300,1186,0.171609239,2,2,2,2,1
462,300,300,1062,-0.001777293,2,2,2,2,0
525,315,320,1160,0.1087499856948843,2,2,2,2,1
0.42,9.77,7.35,17.62,0.1966788192221687,0,0,0,0,1
0.41,9.96,7.25,17.6,-0.067555528,0,0,0,0,0
0.42,9.4,7.43,17.24,0.1109126751617875,0,0,0,0,1
0.47,6.67,7.64,14.77,-0.056015584,0,0,0,0,0
5.43,18.37,11.57,35.44,0.1804049025650904,0,0,0,0,1
5.43,11.82,12.3,29.56,0.9113294744402344,0,0,0,0,2
4.7,9.11,11.45,25.27,0.3090656500450418,0,0,0,0,2
3.6,7.12,9.96,20.69,-0.242320686,0,0,0,0,0
10.08,15.9,8.04,33.97,-0.048458815,0,0,0,0,0
10.67,15.4,7.66,33.74,0.1525776476179486,0,0,0,0,1
8.1,13,5.95,27.05,-0.193635783,0,0,0,0,0
1.3,4.95,6.87,13.12,0.1244492135729753,0,0,0,0,1
1.22,3.6,6.42,11.24,0.025887192,0,0,0,0,1
1.19,3.73,6.29,11.21,-0.11707905,0,0,0,0,0
0.11,18.26,7.64,26.01,-0.156127861,0,0,0,0,0
1,16.45,6.99,24.45,0.1166666840377851,0,0,0,0,1
4.91,5.01,6.93,16.84,0.3022193138890005,0,0,0,0,2
4.33,5.14,6.57,16.05,-0.172974796,0,0,0,0,0
3.84,6.03,6.48,16.36,0.032271009,0,0,0,0,1
1.08,10.9,5.69,17.58,0.3677806406046006,0,0,0,0,2
1.12,10.83,5.67,17.62,0.4549181309934507,0,0,0,0,2
1.11,9.98,5.62,16.7,0.6938431222535465,0,0,0,0,2
0.05,9.99,6.06,16.15,0.1351351326019676,0,0,0,0,1
0.05,10,5.96,16.02,0.010743446,0,0,0,0,1
0.05,9.69,5.98,15.73,0.5956541056066584,0,0,0,0,2
1.77,15.29,8.33,25.48,0.3504937467107743,0,0,0,0,2
1.67,14.74,7.86,24.26,0.1542227861902778,0,0,0,0,1
1.47,12.23,7.09,20.79,0.5811477851838899,0,0,0,0,2
5.23,16.27,11.12,32.62,0.3733423548970985,0,0,0,0,2
4.97,14.08,10.77,29.82,0.3052164682732162,0,0,0,0,2
4.57,11.17,10.03,25.76,-0.220131,0,0,0,0,0
500,316,315,1131,-0.108899031,2,2,2,2,0
4.64,9.31,6.29,20.23,0.1317236291440758,0,0,0,0,1
4.27,8.87,6.44,19.56,0.1787744605602152,0,0,0,0,1
4.36,9.14,6.43,19.93,-0.206348557,0,0,0,0,0
1.47,14.46,10.93,26.29,-0.545602614,0,0,0,0,0
1.49,14.47,10.68,26.13,0.095006057,0,0,0,0,1
1.8,12.93,10.41,25.14,0.3124286919155817,0,0,0,0,2
6.32,8.44,6.25,21.02,0.1590330121114591,0,0,0,0,1
4.14,5.63,5.37,15.14,0.5004037312405522,0,0,0,0,2
3,6.01,5.32,14.32,-0.160926856,0,0,0,0,0
6,5.12,7.37,18.3,0.3894198001541244,0,0,0,0,2
6.25,4.73,6.76,17.74,0.1388413670584504,0,0,0,0,1
8.03,2.53,6.02,16.57,0.7444753592330089,0,0,0,0,2
5.13,3.43,5.31,13.87,-0.242054711,0,0,0,0,0
0.18,11.52,7.2,18.89,0.1059602931871027,0,0,0,0,1
0.93,9.54,5.23,15.7,0.2000358933611031,0,0,0,0,1
1.3,22.35,11.73,35.54,0.1384530520435087,0,0,0,0,1
1.29,21.19,11.44,33.92,0.078905945,0,0,0,0,1
0.74,19.89,9.29,29.92,0.087954727,0,0,0,0,1
0.74,16.53,8.54,25.82,0.056929598,0,0,0,0,1
0.39,8.35,7.75,16.2,-0.073014699,0,0,0,0,0
0.38,9.27,6.52,16.17,0.5871110704210044,0,0,0,0,2
1.66,8.35,6.77,16.79,-0.014586267,0,0,0,0,0
1.16,12.27,9.65,22.95,0.4528400034413738,0,0,0,0,2
1.16,11.98,9.05,22.18,-0.090993592,0,0,0,0,0
1.07,16.13,10.74,27.94,0.2419608321844313,0,0,0,0,1
1.11,16.32,11.65,29.08,-0.211059663,0,0,0,0,0
16.46,19.06,6.35,40.59,-0.114854827,0,0,0,0,0
11.94,14.12,6.27,32.32,0.073397301,0,0,0,0,1
12.89,14.33,6.77,33.99,0.037872257,0,0,0,0,1
13.95,14.4,6.71,35.06,0.179637454,0,0,0,0,1
6.31,7.51,6.46,20.44,0.3305052307290382,0,0,0,0,2
6.13,7.2,6.33,19.83,-0.153838918,0,0,0,0,0
6.47,6.9,6.16,19.54,0.4321827935080222,0,0,0,0,2
6.84,6.73,5.96,19.52,0.6412653184711845,0,0,0,0,2
7.59,7.46,6.79,21.85,0.2194148876808427,0,0,0,0,1
7.87,7.28,6.92,22.06,-0.018704455,0,0,0,0,0
8.11,7.22,6.83,22.16,0.06378855,0,0,0,0,1
10.83,10.18,4.44,25.31,0.3927631803909504,0,0,0,0,2
9.23,9.5,4.24,22.97,-0.356705879,0,0,0,0,0
8.55,6.06,3.82,18.43,0.1534545204856145,0,0,0,0,1
0.14,9.09,4.2,13.45,0.4163165752474591,0,0,0,0,2
0.11,8.7,4.17,12.98,0.3810179375716516,0,0,0,0,2
0.08,7.92,3.98,11.97,-0.293977349,0,0,0,0,0
200,201,200,601,0.1054062730433467,1,1,1,1,1
505,303,313,1121,0.1213425686215487,2,2,2,2,1
1.22,12.94,7.09,21.09,-0.185036339,0,0,0,0,0
1.19,13.15,6.94,20.97,0.8835866286386062,0,0,0,0,2
1.21,12.51,6.71,20.42,0.067858595,0,0,0,0,1
500,300,300,1100,0.2214133322920343,2,2,2,2,1
363,344,220,927,-0.337275561,1,1,2,1,0
0.74,9.63,7.56,17.93,0.197634708,0,0,0,0,1
0.67,7.67,6.96,15.3,0.5454724077920671,0,0,0,0,2
0.51,10.26,7.31,18.08,-0.140721804,0,0,0,0,0
210,240,275,725,-0.080538143,1,2,1,1,0
4.57,5.4,4,13.98,-0.018930861,0,0,0,0,0
4.58,5.41,3.81,13.8,0.6938487896570052,0,0,0,0,2
4.08,4.97,3.81,12.87,-0.220046444,0,0,0,0,0
510,360,310,1180,0.1000327295766271,2,2,2,2,1
7.35,16.61,7.53,31.29,0.5071219498366405,0,0,0,0,2
7.22,16.05,7.25,30.52,-0.096421055,0,0,0,0,0
5.27,15.81,7.63,28.7,0.001211315,0,0,0,0,1
5.27,15.93,7.34,28.53,0.3185406939195606,0,0,0,0,2
700,300,300,1300,-0.059266829,2,2,2,2,0
519,307,300,1126,0.032915113,2,2,2,2,1
218,200,200,618,-0.223456831,1,1,1,1,0
4.18,5.65,6.49,16.31,1.1909184713543293,0,0,0,0,2
4.52,5.81,6.44,16.76,0.5966934578496216,0,0,0,0,2
4.94,5.05,5.56,15.56,0.5040260035426307,0,0,0,0,2
4.7,4.15,5.22,14.07,-0.367437216,0,0,0,0,0
535,327,305,1167,-0.090404395,2,2,2,2,0
10.04,15.43,5.98,31.44,-0.078313241,0,0,0,0,0
11.29,14.89,6.21,32.39,0.083159609,0,0,0,0,1
1.64,9.84,8.49,20,0.3545222535228132,0,0,0,0,2
1.59,9.19,8.18,18.96,-0.147109319,0,0,0,0,0
1.81,8.1,8.66,18.56,-0.370568564,0,0,0,0,0
1.39,7.83,8.54,17.77,-0.027880099,0,0,0,0,0
345,256,300,901,0.083583019,1,2,1,1,1
16.23,2.75,7.35,25.97,0.1562844745507736,0,0,0,0,1
15.94,2.8,7.1,25.84,-0.037993232,0,0,0,0,0
16.35,2.88,7.1,26.33,-0.002918883,0,0,0,0,0
16.64,2.13,6.02,24.79,0.1573965074034193,0,0,0,0,1
492,310,250,1052,-0.076954964,2,1,2,2,0
210,230,215,655,-0.005475419,1,1,1,1,0
5.58,7.03,6.29,18.91,0.3890234929574927,0,0,0,0,2
5.75,7.02,5.96,18.73,-0.04276542,0,0,0,0,0
6.03,7.12,5.61,18.76,0.8110347937480054,0,0,0,0,2
315,261,210,786,-0.104781389,1,1,1,1,0
215,200,215,630,0.093535994,1,1,1,1,1
522,323,305,1150,-0.296438725,2,2,2,2,0
505,326,305,1136,-0.070429316,2,2,2,2,0
17.12,9.74,8.52,35.3,0.4902519741479993,0,0,0,0,2
16.04,9.44,8.64,34.12,0.3025559011636852,0,0,0,0,2
15.07,9.32,8.64,33.03,0.2531126228239195,0,0,0,0,1
500,300,300,1100,-0.254798861,2,2,2,2,0
500,303,310,1113,0.3058495950848421,2,2,2,2,2
515,308,235,1058,-0.16168887,2,1,2,2,0
8.99,10.2,5.8,25.07,0.387405561,0,0,0,0,2
9.67,10.8,5.72,26.18,0.061932433,0,0,0,0,1
7.52,10.62,5.16,23.29,0.133697994,0,0,0,0,1
520,307,300,1127,-0.030874506,2,2,2,2,0
2.48,13.41,9.96,25.88,0.2671729978228988,0,0,0,0,1
2.51,13.97,9.17,25.65,0.023414296,0,0,0,0,1
2.52,13.9,7.73,24.16,-0.117320822,0,0,0,0,0
2.37,12.88,7.64,22.9,0.057009863,0,0,0,0,1
517,305,305,1127,0.1223387500944743,2,2,2,2,1
2.46,11.05,12.01,26.29,0.3949685503406861,0,0,0,0,2
2.24,11.11,11.98,25.33,-0.059964206,0,0,0,0,0
2.59,12.31,12.01,26.91,0.4162196374809826,0,0,0,0,2
2.34,13.01,10.83,26.16,-0.076376607,0,0,0,0,0
5.55,4.29,4.56,14.41,-0.577822713,0,0,0,0,0
5.56,4.54,4.76,14.9,0.1865321209849082,0,0,0,0,1
5.64,4.49,4.71,14.85,0.032222584,0,0,0,0,1
5.44,4.45,4.43,14.33,0.2941677001243252,0,0,0,0,1
570,298,303,1171,-0.325279547,2,2,2,2,0
10.91,13.72,5.62,30.32,0.086924076,0,0,0,0,1
10.64,15.16,6.16,31.89,0.2318914010111249,0,0,0,0,1
9.03,14.1,5.27,28.4,0.008665711,0,0,0,0,1
500,300,300,1100,0.056919889,2,2,2,2,1
230,213,210,653,-0.354277617,1,1,1,1,0
19.02,5.03,9.14,33.78,0.6493070457986003,0,0,0,0,2
19.19,4.66,8.65,32.51,0.007986653,0,0,0,0,1
17.75,4.9,8.77,31.43,0.5511267218791234,0,0,0,0,2
18.55,4.86,8.82,32.24,-0.174522011,0,0,0,0,0
0.07,7.53,10.77,18.41,0.4149099147152999,0,0,0,0,2
0.09,8.06,10.8,18.93,0.048481081,0,0,0,0,1
0.11,8.36,10.88,19.34,0.4929142563653517,0,0,0,0,2
500,300,300,1100,-0.013252725,2,2,2,2,0
12.95,13.84,8.23,35.02,0.015028599,0,0,0,0,1
12.62,13.57,7.84,34.03,-0.173508306,0,0,0,0,0
515,344,300,1159,-0.13536433,2,2,2,2,0
500,327,341,1168,0.1606502170560386,2,2,2,2,1
515,379,315,1209,0.9253165329558936,2,2,2,2,2
21.29,9.48,6.08,37.36,-0.107396797,0,0,0,0,0
22.55,9.48,6.11,38.11,0.035757296,0,0,0,0,1
19.36,8.46,5.54,33.36,-0.320630751,0,0,0,0,0
15.68,7.07,5.3,28.04,0.5334292446780504,0,0,0,0,2
700,366,315,1381,0.353196674,2,2,2,2,2
330,287,235,852,-0.167571529,1,1,2,1,0
1.63,15.46,11.44,28.64,0.3502384552586632,0,0,0,0,2
1.6,15.2,11.06,28,0.2079956476041901,0,0,0,0,1
1.63,14.52,11.07,27.22,-0.101888404,0,0,0,0,0
0.88,11.28,10.52,22.67,-0.020503462,0,0,0,0,0
500,305,315,1120,0.134891637,2,2,2,2,1
500,300,300,1100,-0.330325313,2,2,2,2,0
530,313,305,1148,0.6205846825037012,2,2,2,2,2
555,303,320,1178,-0.146682769,2,2,2,2,0
0.13,13.18,6.93,23.01,0.7843664960910772,0,0,0,0,2
0.41,14.45,5.74,20.6,0.3592377077992729,0,0,0,0,2
1.61,5.41,5.39,12.41,-0.21426595,0,0,0,0,0
0.45,9.71,5.23,15.45,0.5841284993858914,0,0,0,0,2
0.46,9.57,5.14,15.17,0.4008061461072847,0,0,0,0,2
0.46,9.11,4.85,14.42,0.5113468259071816,0,0,0,0,2
0.82,8.17,5.1,14.08,-0.165558427,0,0,0,0,0
1.4,8.98,5.48,15.46,0.2664025270060722,0,0,0,0,1
1.4,8.55,5.48,15.21,0.4147497561976513,0,0,0,0,2
505,305,347,1157,-0.140471755,2,2,2,2,0
2.12,12.8,12.74,27.66,-0.252758848,0,0,0,0,0
2.04,13.31,11.94,27.29,0.1939671616352082,0,0,0,0,1
2.2,12.77,11.19,26.16,0.0243307,0,0,0,0,1
245,389,311,945,-0.306971703,1,2,2,2,0
0.92,6.1,5.62,12.71,0.4229749176461108,0,0,0,0,2
0.92,5.21,5.76,11.9,0.4154527340819906,0,0,0,0,2
0.78,5.71,5.51,12,0.4694458536255411,0,0,0,0,2
505,300,240,1045,-0.220306712,2,1,2,2,0
530,330,300,1160,-0.253221228,2,2,2,2,0
12.47,11.12,3.9,27.67,0.3946991011870295,0,0,0,0,2
12.63,10.98,3.93,27.54,-0.567443444,0,0,0,0,0
12.54,10.97,4.47,27.99,-0.181854065,0,0,0,0,0
11.98,10.12,4.51,26.61,0.031458525,0,0,0,0,1
2.38,7.95,7.84,18.15,0.3287841253310752,0,0,0,0,2
2.16,7.4,7.3,16.87,0.2375536346211524,0,0,0,0,1
1.59,6.3,6.41,14.3,0.5704030600188501,0,0,0,0,2
1.81,4.56,5.56,11.93,-0.153269753,0,0,0,0,0
9.55,13.34,5.65,28.53,0.2663458773375945,0,0,0,0,1
9.45,12.51,5.6,27.56,-0.158212464,0,0,0,0,0
668,306,313,1287,-0.113573119,2,2,2,2,0
10.41,9.06,5.65,25.13,0.2612481799908119,0,0,0,0,1
9.66,9.06,5.04,23.77,0.3752009285612747,0,0,0,0,2
8.91,10.88,4.94,24.73,0.001938593,0,0,0,0,1
7.8,9.37,5.09,22.26,0.3858100242040276,0,0,0,0,2
361,322,223,906,0.1503623029410012,1,1,2,1,1
205,275,200,680,-0.203366515,1,1,1,1,0
505,315,305,1125,0.027777751,2,2,2,2,1
500,310,300,1110,0.3236714303695223,2,2,2,2,2
505,302,300,1107,0.2073911292631349,2,2,2,2,1
550,374,350,1274,-0.217276587,2,2,2,2,0
19.68,11.27,7.84,38.88,0.016624081,0,0,0,0,1
20.93,11.35,7.91,40.19,-0.057243346,0,0,0,0,0
17.26,8.95,5.55,31.75,0.1417970409151296,0,0,0,0,1
17.26,8.95,5.46,31.66,-0.093243926,0,0,0,0,0
358,339,330,1027,-0.118726976,1,2,2,2,0
2.77,9.51,6.76,18.63,0.070139281,0,0,0,0,1
2.77,8.15,6.19,17.11,0.3839325436196594,0,0,0,0,2
2.61,7.2,6.05,15.87,-0.179882663,0,0,0,0,0
2.54,13.74,11.39,27.78,-0.20268982,0,0,0,0,0
2.54,13,11.11,27.05,0.2962420577173514,0,0,0,0,1
2.24,12.34,10.83,25.41,-0.125692289,0,0,0,0,0
250,226,225,701,-0.081199792,1,1,1,1,0
12.3,15.22,9.23,36.75,1.106866018510773,0,0,0,0,2
10.07,14.21,9.39,33.66,0.4389416677037073,0,0,0,0,2
1.91,4.66,6.85,13.49,0.8011329160370634,0,0,0,0,2
